Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,155.789993,156.330002,153.660004,156.300003,152.931305,26192100
2019-01-29,156.250000,158.130005,154.110001,154.679993,151.346207,41587200
2019-01-30,163.250000,166.149994,160.229996,165.250000,161.688416,61109800
2019-01-31,166.110001,169.000000,164.559998,166.440002,162.852737,40739600
2019-02-01,166.960007,168.979996,165.929993,166.520004,162.931030,32668100
2019-02-04,167.410004,171.660004,167.279999,171.250000,167.559082,31495500
2019-02-05,172.860001,175.080002,172.350006,174.179993,170.425934,36101600
2019-02-06,174.649994,175.570007,172.850006,174.240005,170.484650,28239600
2019-02-07,172.399994,173.940002,170.339996,170.940002,167.255768,31741700
2019-02-08,168.990005,170.660004,168.419998,170.410004,167.452316,23820000
2019-02-11,171.050003,171.210007,169.250000,169.429993,166.489288,20993400
2019-02-12,170.100006,171.000000,169.699997,170.889999,167.923965,22283500
2019-02-13,171.389999,172.479996,169.919998,170.179993,167.226273,22490200
2019-02-14,169.710007,171.259995,169.380005,170.800003,167.835541,21835700
2019-02-15,171.250000,171.699997,169.750000,170.419998,167.462128,24626800
2019-02-19,169.710007,171.440002,169.490005,170.929993,167.963257,18972800
2019-02-20,171.190002,173.320007,170.990005,172.029999,169.044174,26114400
2019-02-21,171.800003,172.369995,170.300003,171.059998,168.091019,17249700
2019-02-22,171.580002,173.000000,171.380005,172.970001,169.967850,18913200
2019-02-25,174.160004,175.869995,173.949997,174.229996,171.205978,21873400
2019-02-26,173.710007,175.300003,173.169998,174.330002,171.304245,17070200
2019-02-27,173.210007,175.000000,172.729996,174.869995,171.834885,27835400
2019-02-28,174.320007,174.910004,172.919998,173.149994,170.144730,28215400
2019-03-01,174.279999,175.149994,172.889999,174.970001,171.933121,25886200
2019-03-04,175.690002,177.750000,173.970001,175.850006,172.797882,27436200
2019-03-05,175.940002,176.000000,174.539993,175.529999,172.483414,19737400
2019-03-06,174.669998,175.490005,173.940002,174.520004,171.490967,20810400
2019-03-07,173.869995,174.440002,172.020004,172.500000,169.506027,24796400
2019-03-08,170.320007,173.070007,169.500000,172.910004,169.908905,23999400
2019-03-11,175.490005,179.119995,175.350006,178.899994,175.794922,32011000
2019-03-12,180.000000,182.669998,179.369995,180.910004,177.770050,32467600
2019-03-13,182.250000,183.300003,180.919998,181.710007,178.556152,31032500
2019-03-14,183.899994,184.100006,182.559998,183.729996,180.541092,23579500
2019-03-15,184.850006,187.330002,183.740005,186.119995,182.889603,39042900
2019-03-18,185.800003,188.389999,185.789993,188.020004,184.756653,26219800
2019-03-19,188.350006,188.990005,185.919998,186.529999,183.292511,31646400
2019-03-20,186.229996,189.490005,184.729996,188.160004,184.894226,31035200
2019-03-21,190.020004,196.330002,189.809998,195.089996,191.703918,51034200
2019-03-22,195.339996,197.690002,190.779999,191.050003,187.734055,42407700
2019-03-25,191.509995,191.979996,186.600006,188.740005,185.464127,43845300
2019-03-26,191.660004,192.880005,184.580002,186.789993,183.547989,49800500
2019-03-27,188.750000,189.759995,186.550003,188.470001,185.198837,29848400
2019-03-28,188.949997,189.559998,187.529999,188.720001,185.444489,20780400
